timestamp;latitude;longitude;altitude;horizontalAccuracy;verticalAccuracy;speed;course
2021-01-10 13:55:06 +0000;51.678813;5.293399;9.602653;4.975439;4.975439;57.370448;9.371369
2021-01-10 13:55:07 +0000;51.678959;5.293442;9.504559;4.994073;4.994073;59.317136;9.819983
2021-01-10 13:55:08 +0000;51.679106;5.293472;9.585748;5.010215;5.010215;60.365805;9.580062
2021-01-10 13:55:09 +0000;51.679257;5.293506;9.667611;5.032652;5.032652;61.432223;9.349747
2021-01-10 13:55:10 +0000;51.679413;5.293541;9.505630;5.067667;5.067667;62.395134;9.456776
2021-01-10 13:55:11 +0000;51.679567;5.293588;9.364211;5.091117;5.091117;62.632115;10.035202
2021-01-10 13:55:12 +0000;51.679726;5.293627;9.487489;5.112256;5.112256;63.007978;10.057815
2021-01-10 13:55:13 +0000;51.679880;5.293664;9.270175;5.107231;5.107231;62.665269;9.873066
2021-01-10 13:55:14 +0000;51.680034;5.293703;9.324288;5.146833;5.146833;63.796350;9.458129
2021-01-10 13:55:15 +0000;51.680184;5.293747;9.419222;5.142560;5.142560;62.390236;10.367386
2021-01-10 13:55:16 +0000;51.680337;5.293785;9.109601;5.169186;5.169186;62.924250;10.214669
2021-01-10 13:55:17 +0000;51.680488;5.293827;9.017863;5.203443;5.203443;62.009466;10.532144
2021-01-10 13:55:18 +0000;51.680628;5.293866;8.764963;5.248110;5.248110;59.120823;10.516041
2021-01-10 13:55:19 +0000;51.680767;5.293899;8.573310;5.271482;5.271482;57.645516;10.282722
2021-01-10 13:55:20 +0000;51.680902;5.293930;8.333081;5.264186;5.264186;56.323734;10.204919
2021-01-10 13:55:21 +0000;51.681039;5.293957;8.275908;5.248951;5.248951;54.973450;10.271041
2021-01-10 13:55:22 +0000;51.681171;5.293995;8.211254;5.209970;5.209970;53.979250;11.303666
2021-01-10 13:55:23 +0000;51.681303;5.294033;8.061908;5.192861;5.192861;54.224461;11.484188
2021-01-10 13:55:24 +0000;51.681437;5.294052;7.884619;5.187859;5.187859;54.051463;9.648713
2021-01-10 13:55:25 +0000;51.681563;5.294078;7.824041;5.119804;5.119804;52.927854;9.068571
2021-01-10 13:55:26 +0000;51.681693;5.294093;7.709302;5.097873;5.097873;53.102688;5.103898
2021-01-10 13:55:27 +0000;51.681819;5.294103;7.472595;5.065730;5.065730;52.103093;4.145478
2021-01-10 13:55:28 +0000;51.681942;5.294126;7.073019;5.050852;5.050852;50.329818;7.564986
